id,ja,en
236,"ともだち","friend, friends"
237,"ヨガ","yoga"
238,"スポーツ","sports"
239,"買います","will buy"
240,"土曜日","Saturday, Saturdays"
241,"でかけます","go out, am going to go out"
242,"からて","karate"
243,"ゲーム","video games"
244,"日曜日","Sunday"
245,"話します","speaks, speak, tells"
246,"テニス","tennis"
247,"じゅうどう","judo"
248,"どうが","video"
249,"ホーム","platform"
250,"いっかい","first floor"
251,"ありますか","is (there), is (it), are (there)"
252,"かいさつ","ticket gate"
253,"あそこ","over there"
254,"のりかえ","transfer"
255,"ゴミばこ","trash can"
256,"ありません","there are no, (it) is not, has nothing"
257,"wifi","wifi"
258,"おてあらい","restroom"
259,"エレベーター","elevator"
260,"タクシー","taxi"
261,"ちか","underground level"
262,"でんわ","phone"
263,"とおい","far"
264,"コンセント","outlet"
265,"かいだん","stairs"
266,"にかい","the second floor, two"
267,"カフェ","cafe"
268,"ちかい","close"
269,"コインロッカー","storage lockers"
270,"じはんき","vending machines, vending machine"
271,"でぐち","exit"
272,"いつも","always, all the time, never"
273,"何時","when, what time"
274,"ラジオ","radio"
275,"新聞","newspaper"
276,"おきます","get up, going to wake up, wake up"
277,"何時に","(at) what time"
278,"食べます","eat, am going to eat, will eat"
279,"つくります","make"
280,"四時","four o'clock"
281,"まいしゅう","every week"
282,"バレーボール","volleyball"
283,"らいしゅう","next week"
284,"あした","tomorrow"
285,"メールを読みます","check emails"
286,"シャワーをあびます","take a shower"
287,"ねます","sleep, go to sleep, will go to sleep"
288,"パスタ","pasta"
289,"飲みます","will have, drink, having"
290,"はしります","runs, run"
291,"ダニエル","Daniel"
292,"こちら","this, these, (over) here"
293,"言います","tell, tells, say"
294,"エリカ","Erica, Erika"
295,"と言います","tell, say, says"
296,"アンドリュー","Andrew"
297,"かれし","boyfriend"
298,"さんは","Mr./Ms."
299,"ちゅうごく","China"
300,"かのじょ","she, girlfriend, her"
301,"かんこく","Korea, korean"
302,"ベトナム","Vietnam"
303,"がすきです","like"
304,"日本の","Japan's, of Japan, Japanese"
305,"Kポップ","K-pop"
306,"ミステリー","mystery"
307,"しゅみはありますか","do you have a hobby"
308,"がすきですか","do you like"
309,"ホラー","horror"
310,"ファンタジー","fantasy"
311,"どんな","any, what kind of, what (sort of)"
312,"アメリカの","... of the US, American, ... of the United States"
313,"アクション","action"
314,"ほんとうですか","really"
315,"コメディ","comedy"
316,"れんあい","romance"
317,"いえ","house"
318,"ひろい","spacious"
319,"まだ","still, yet, too"
320,"ひっこします","am going to move, is going to move, move"
321,"アパート","apartment building, apartment, apartments"
322,"があります","is, there is, there are"
323,"キッチン","kitchen"
324,"リビング","living room"
325,"せまい","cramped"
326,"ベッド","bed, beds"
327,"エアコン","air conditioning, air conditioners, air conditioner"
328,"そうじき","vacuum cleaner"
329,"シャワー","shower, showers"
330,"ほんだな","bookshelf"
331,"たぶん","probably"
332,"ふとん","futon, futons"
333,"でんしレンジ","microwave"
334,"テーブル","table, tables"
335,"いす","chair, chairs"
336,"れいぞうこ","fridge"
337,"せんたくき","washing machine"
338,"つくえ","desk"
339,"いつ","when, what time"
340,"こんしゅう","this week"
341,"でんしゃ","train"
342,"行きます","am going, are going, go"
343,"しぶや","Shibuya"
344,"あきはばら","Akihabara"
345,"バス","bus"
346,"よこはま","Yokohama"
347,"つぎ","next"
348,"つぎの","next"
349,"来ます","will be here, will come, is coming"
350,"うえのこうえん","Ueno Park"
351,"あさくさ","Asakusa"
352,"もうすぐ","soon, almost, shortly"
353,"どの","any, each, which"
354,"十分","sufficient, enough, adequate"
355,"はやい","fast"
356,"かかります","take, (it) takes, (it) will take"
357,"ぐらい","about"
358,"分","minute, minutes"
359,"時間","time, hour, hours"
360,"しゅうてん","final stop"
361,"ながい","long"
362,"ほんとうに","really, truly"
363,"ところ","place"
364,"な","do not, (adjective ending), don't"
365,"たてもの","building"
366,"おてら","temple"
367,"何ですか","what (is), what are, what's"
368,"あれ","hey, that (one) (over there), what"
369,"デザート","dessert"
370,"はらじゅく","Harajuku"
371,"ピザや","pizza shop"
372,"ラーメンや","ramen shop"
373,"じんじゃ","shrine"
374,"山","mountain, mount, mountains"
375,"高い","tall"
376,"ふじさん","Mt. Fuji"
377,"ポストカード","postcard"
378,"おかし","snack"
379,"おみやげ","souvenir"
380,"どうですか","how are things, why don't, how is"
381,"だいじょうぶ","OK"
382,"すわります","sit, going to sit"
383,"ぐあいがわるい","unwell"
384,"あぶない","dangerous"
385,"けいさつ","police"
386,"びょういん","hospital"
387,"おねがいします","please, I need ... please"
388,"きゅうきゅうしゃ","ambulance"
389,"九","nine"
390,"〇","0, zero"
391,"何さい","how old"
392,"でんわばんごう","phone number"
393,"ごりょうしん","(your) parents, parents"
394,"アレルギー","allergy"
395,"ごかぞく","your family, family"
396,"ちかく","nearby"
397,"きょう","today"
398,"休みます","rest, take a break, absent (from)"
399,"くすりを飲みます","take"
400,"ちゃんと","proper, properly, full"
401,"あたたかい","warm"
402,"てんき","weather"
403,"あめ","rainy"
404,"はる","spring"
405,"こうえん","park, performance, parks"
406,"うみ","beach"
407,"日","day, the sun, (a) day"
408,"なつ","summer"
409,"はれ","sunny"
410,"七月","July"
411,"プール","swimming pools, pools, pool"
412,"あつい","hot, thick"
413,"はなび","fireworks"
414,"休み","break"
415,"あき","fall"
416,"コンサート","concert, concerts"
417,"くもり","cloudy"
418,"九月","September, (in) September"
419,"こんばん","this evening, tonight"
420,"ふゆ","winter"
421,"おんせん","hot spring"
422,"ココア","cocoa"
423,"ゆき","snowy"
424,"さむい","cold"
425,"おとうとさん","younger brother"
426,"きょうだい","sibling"
427,"はいますか","do ... have"
428,"います","is, am, has been"
429,"が","(softens the tone), (indicates the subject), but"
430,"おねえさん","big sister, big sisters, older sisters"
431,"オーストラリア","Australia, Australian"
432,"コーチ","coach"
433,"日本ご","Japanese"
434,"たいわん","Taiwan"
435,"ができます","know, can play"
436,"ちゅうごくご","Chinese"
437,"いもうとさん","younger sister"
438,"おにいさん","big brother, older brothers, older brother"
439,"えいご","English"
440,"マレーシア","Malaysia"
441,"ふたり","two"
442,"かんこくご","Korean"
443,"ソウル","Seoul"
444,"おこさん","kid, kids"
445,"こども","kid, (the) child, (the) children"
446,"ひとり","one"
447,"かえります","am returning, will return home, returning"
448,"うち","we, (my) house, home"
449,"しごと","work"
450,"あと","after"
451,"かじ","chore"
452,"がっこう","school"
453,"何","anything, which, what"
454,"しゅくだい","homework"
455,"てつだいます","help"
456,"そうじ","cleaning, clean"
457,"いろいろ","all sorts of"
458,"だれ","who"
459,"せんたく","laundry"
460,"おふろ","bath"
461,"にはいります","am going to take, take, going to enroll"
462,"ストレッチ","stretch"
463,"たいへん","tough, very, hard"
464,"そして","then"
465,"買い物","shopping"
466,"りょうり","cuisine, dish, food"
467,"たのしい","fun"
468,"ガーデニング","gardening"
469,"休みの日","day off"
